CY	BAC	CHL	DIP	DOP	SI	DIN	DON
10,576	5,718	0,133	0,013	0,03	0,49	0,109	0,661
5,154	2,098	0,276	0,058	0,1	2,1	0,102	0,768
8,577	4,688	0,13	0,008	0,025	0,46	0,095	0,465
10,645	3,383	0,23	0,021	0,07	1,1	0,101	0,469
7,008	4,4	0,132	0,026	0,077	0,4	0,112	0,488
5,812	5,721	0,189	0,022	0,064	0,43	0,094	0,436
2,367	17,363	0,139	0,02	0,063	1,2	0,119	0,641
4,003	3,839	0,166	0,015	0,05	0,72	0,092	0,608
3,666	2,223	0,22	0,02	0,051	0,8	0,14	0,61
10,648	8,005	0,189	0,007	0,053	0,11	0,093	0,547
6,426	8,883	0,204	0,008	0,041	0,16	0,095	0,485
0,196	1,037	0,108	0,012	0,02	0,56	0,19	0,55
0,039	2,56	0,189	0,012	0,023	0,37	0,078	0,542
0,075	1,951	0,123	0,003	0,021	0,1	0,065	0,385
0,205	1,961	0,052	0,002	0,021	0,6	0,064	0,416
0,028	3,287	0,04	0,002	0,024	0,28	0,077	0,443
0,328	8,714	0,138	0,013	0,055	0,1	0,36	0,61
0,088	2,554	0,057	0,003	0,027	0,47	0,367	0,493
0,553	2,08	0,15	0,003	0,021	0,18	0,078	0,392
0,702	5,803	0,087	0,004	0,029	0,1	0,079	0,551
0,59	1,584	0,645	0,012	0,042	0,16	0,086	0,604
1,779	1,672	0,122	0,021	0,069	0,28	0,186	0,574
1,827	0,73	0,188	0,005	0,029	0,37	0,204	0,586
1,425	0,464	0,337	0,002	0,032	0,23	0,088	0,422
2,484	0,366	0,146	0,004	0,035	0,23	0,08	0,47
2,834	0,895	0,315	0,002	0,032	0,13	0,096	0,474
5,608	1,958	0,06	0,013	0,057	0,42	0,096	0,674
3,674	0,061	0,281	0,002	0,019	0,42	0,076	0,434
2,505	9,636	0,275	0,026	0,081	0,2	0,076	0,564
3,647	2,877	0,511	0,02	0,064	0,1	0,085	0,495
4,19	1,274	0,321	0,029	0,07	0,2	0,079	0,461
10,123	3,096	0,037	0,025	0,1	0,4	0,082	0,708
8,949	3,236	0,126	0,003	0,051	0,17	0,135	0,605
5,453	1,298	0,165	0,019	0,065	1	0,067	0,513
4,308	3,194	0,432	0,021	0,071	1	0,075	0,425
5,744	2,023	0,256	0,023	0,066	0,6	0,068	0,422
5,317	8,753	0,407	0,03	0,12	2,3	0,171	0,699
3,53	8,517	0,419	0,015	0,063	0,6	0,073	0,417
4,725	6,991	0,168	0,019	0,062	0,2	0,063	0,517
3,021	4,592	0,138	0,017	0,052	0,1	0,053	0,497
11,636	2,204	0,169	0,011	0,063	0,8	0,138	0,612
2,564	2,359	0,317	0,012	0,048	1	0,109	0,531
2,964	2,547	0,125	0,015	0,07	1,1	0,092	1,008
6,483	1,405	0,106	0,014	0,06	0,7	0,119	0,501
1,915	9,555	0,268	0,018	0,078	0,6	0,056	0,594
1,17	7,122	0,105	0,023	0,08	2,3	0,079	0,551
0,883	10,145	0,319	0,055	0,12	1,5	0,08	0,63
2,567	5,993	0,111	0,006	0,051	1,5	0,653	0,547
2,212	17,613	0,133	0,039	0,14	0,7	0,059	0,761
2,711	7,435	0,365	0,026	0,095	1,6	0,066	0,524
2,188	4,297	0,145	0,012	0,056	0,1	0,074	0,496
3,363	4,215	0,142	0,011	0,067	0,3	0,053	0,807
1,074	9,532	0,112	0,011	0,063	0,2	0,062	0,518
7,913	3,493	0,087	0,008	0,043	0,8	0,08	0,47
2,032	3,33	0,115	0,018	0,068	1,1	0,138	0,622
1,784	8,658	0,18	0,11	0,27	0,4	0,057	1,243
1,501	9,423	0,103	0,022	0,085	2,1	1,194	0,606
